Sector,Subsector,Entity_Count,Examples
Advanced Compute & Integration,AI Agents & Autonomous Systems,19,"Agent Coordination Protocols (general class), Agent-Based MEV & Execution Systems, Autonolas, Autonomous Governance Execution Agents, Autonomous Liquidation & Risk Agents (+14 more)"
Advanced Compute & Integration,Cross-Chain Compute,15,"Arbitrum (cross-chain dispute role), Axelar, Axiom, EigenLayer (verification & dispute contexts only), Espresso Systems (+10 more)"
Advanced Compute & Integration,DePIN (Physical Infrastruture),19,"Akash Network, Arweave (Ethereum settlement / usage only), Chainlink (physical oracle deployments only), DIMO, EV3 (+14 more)"
Advanced Compute & Integration,Identity & Social Graphs,19,"Civic, Collab.Land, CyberConnect, Ethereum Attestation Service, Ethereum Name Service (+14 more)"
Advanced Compute & Integration,Real World Assets (RWAs),20,"Backed Finance, BlackRock BUIDL, Centrifuge, Chainalysis KYT (RWA transfer enforcement context), Clearpool (issuer-side only) (+15 more)"
Core Protocol Architecture,Consensus Layer,6,"Ethereum Consensus Specifications, Lighthouse, Lodestar, Nimbus, Prysm (+1 more)"
Core Protocol Architecture,Execution Layer,6,"Besu, Erigon, Execution EIPs (Execution-Layer Ethereum Improvement Proposals), Geth (Go Ethereum), Nethermind (+1 more)"
Core Protocol Architecture,MEV & Block Builders,16,"Builder-Native Searcher Pipelines (Aggregated), Builder-Relay Integrated Operators (Aggregated), Eden Network (Integrated MEV Stack), Eden Network (Searcher Infrastructure), Eden Relay (+11 more)"
Core Protocol Architecture,Network Upgrades,7,"Dencun, Fusaka, Glamsterdam (Planned), London, Pectra (+2 more)"
Core Protocol Architecture,Validators & Staking Providers,9,"Binance (Validator Operations), Chorus One, Coinbase (Validator Operations), Kraken (Validator Operations), Lido (Node Operator Set) (+4 more)"
Data & Consensus Infrastructure,Analytics & Intelligence,16,"Arkham, Block Analitica, Bubblemaps, Chaos Labs, CipherTrace (+11 more)"
Data & Consensus Infrastructure,Data Availability Systems,16,"Arbitrum AnyTrust, Avail, Avail DAS, Celestia, Celestia DAS (+11 more)"
Data & Consensus Infrastructure,Indexing & Query Engines,16,"Alchemy (Data APIs), Allium, Bitquery, Blocknative (conditional), Chainbase (+11 more)"
Data & Consensus Infrastructure,Oracles & Data Networks,16,"API3, Chainlink, Chainlink CCIP, Chainlink Functions, Gelato (+11 more)"
Data & Consensus Infrastructure,RPC & Node Providers,16,"AWS Managed Blockchain, Alchemy, Ankr, Blockdaemon, Coinbase Cloud (+11 more)"
